,Number,Direction,Active,Free_bici,Free_stand,Total_stands,Ticket,Update_date,Latitude,Longitude,Folder_datetime
83,84,"Serrería, 67",1,14,0,15,0,2025-04-30 23:50:05,39.46712309239451,-0.3352259768659084,2025-05-01 00:00:25
84,85,Blasco Ibañez - Jaime Roig,1,2,21,23,0,2025-04-30 23:50:05,39.479464345022826,-0.3647153422684407,2025-05-01 00:00:25
85,86,Gaspar Aguilar - Vicente Parra,1,7,13,20,0,2025-04-30 23:50:05,39.4552402764855,-0.3911934519157556,2025-05-01 00:00:25
86,87,Blasco Ibañez - Doctor Gómez Ferrer (Clínico),1,2,31,33,0,2025-04-30 23:50:05,39.47851834019109,-0.3618803335785998,2025-05-01 00:00:25
87,88,"Blasco Ibañez, 28 (F. Geografía e Historia)",1,12,28,40,0,2025-04-30 23:50:05,39.47751233609685,-0.3611423324837735,2025-05-01 00:00:25
88,89,"Blasco Ibañez, 23 (F. Filosofía y Psicología)",1,0,30,30,0,2025-04-30 23:50:05,39.47780233689744,-0.3593183259089267,2025-05-01 00:00:25
89,90,"Blasco Ibañez, 32 (F. Filología)",1,9,31,40,0,2025-04-30 23:50:05,39.47673433298103,-0.3589673254467337,2025-05-01 00:00:25
90,91,Grabador Jordan - Escultor Pastor,1,11,4,15,0,2025-04-30 23:50:05,39.44412522887422,-0.3675733796970313,2025-05-01 00:00:25
91,92,Blasco Ibañez - Aragón,1,7,13,20,0,2025-04-30 23:50:05,39.47586032883543,-0.355968315835597,2025-05-01 00:00:25
92,93,Blasco Ibañez - Poeta Durán Tortajada,1,35,3,38,0,2025-04-30 23:50:05,39.47228231067077,-0.343809277423822,2025-05-01 00:00:25
93,94,Blasco Ibañez - Clariano,1,18,2,20,0,2025-04-30 23:50:05,39.47537832465668,-0.3515833014492605,2025-05-01 00:00:25
94,95,Naranjos (Magisterio),1,0,33,33,0,2025-04-30 23:50:05,39.47983533734356,-0.3461192793966847,2025-05-01 00:00:25
95,96,Blasco Ibañez - Yecla,1,13,8,21,0,2025-04-30 23:50:05,39.47355431688417,-0.3482142912637639,2025-05-01 00:00:25
96,97,Blasco Ibañez 121,1,21,1,23,0,2025-04-30 23:50:05,39.47306831276613,-0.3431322739648798,2025-05-01 00:00:25
97,98,Justo y Pastor - Duque de Gaeta,1,14,1,15,0,2025-04-30 23:50:05,39.469680303996114,-0.348442294427372,2025-05-01 00:00:25
98,99,Blasco Ibañez 166 - Pintor José Mongrell,1,20,1,21,0,2025-04-30 23:50:05,39.47134430635022,-0.3404842660990001,2025-05-01 00:00:25
99,100,Blasco Ibañez - Mestre Ripoll,1,19,1,20,0,2025-04-30 23:50:05,39.471634305646866,-0.3381502585344567,2025-05-01 00:00:25
100,101,Marino Blas de Lezo (estación Cabañal Adif),1,30,0,30,0,2025-04-30 23:50:05,39.47022899172744,-0.3348422811122132,2025-05-01 00:00:25
101,102,Ramón Llull - Serpis,1,15,4,20,0,2025-04-30 23:50:05,39.47583332394092,-0.346720283882565,2025-05-01 00:00:25
102,103,Rubén Darío - Plaza Fray Luis Colomer,1,5,10,15,0,2025-04-30 23:50:05,39.47845333567255,-0.3523713017453889,2025-05-01 00:00:25
103,104,Albalat dels Tarongers - Paseo Facultades,1,18,2,20,0,2025-04-30 23:50:05,39.478386332978474,-0.3472752845405608,2025-05-01 00:00:25
104,105,Aularios Universidad de Valencia,1,0,0,15,0,2024-09-09 23:49:39,39.47835119969391,-0.3443952655704271,2024-10-02 00:15:01
105,106,Albalat dels Tarongers - Professor Ernest Lluch,1,0,25,25,0,2025-04-30 23:50:05,39.47674432466283,-0.3413872652268807,2025-05-01 00:00:25
106,107,Campillo de Altobuey (Polideportivo),1,13,2,15,0,2025-04-30 23:50:05,39.47524531713643,-0.3362242490922528,2025-05-01 00:00:25
107,108,Luís Peixó 20,1,5,10,15,0,2025-04-30 23:50:05,39.47382619077011,-0.3339152679031098,2025-05-01 00:00:25
108,109,Naranjos - Ingeniero Fausto Elio,1,0,18,20,0,2025-04-30 23:50:05,39.4768193210939,-0.3335102388084858,2025-05-01 00:00:25
109,110,UPV Trinquet,1,12,18,30,0,2025-04-30 23:50:05,39.48074033571707,-0.3366802462346253,2025-05-01 00:00:25
110,111,UPV Galileo,1,0,30,30,0,2025-04-30 23:50:05,39.48066419504159,-0.3395082613341325,2025-05-01 00:00:25
111,112,Manuel Broseta i Pont - Naranjos,1,0,0,40,0,2025-04-30 23:50:05,39.47858033137406,-0.3422752670199095,2025-05-01 00:00:25
112,113,UPV Caminos,1,0,38,38,0,2025-04-30 23:50:05,39.48127634089521,-0.3436112694462359,2025-05-01 00:00:25
113,114,UPV Informática,1,7,23,30,0,2025-04-30 23:50:05,39.4818043438759,-0.346591279156021,2025-05-01 00:00:25
114,115,Cataluña - Doctor Vicente Zaragozá,1,8,8,16,0,2025-04-30 23:50:05,39.481562345598135,-0.3521482985209469,2025-05-01 00:00:25
115,116,Doctor Vicente Zaragozá - Ramón Asensio,1,12,3,15,0,2025-04-30 23:50:05,39.48325335356676,-0.3575613154471814,2025-05-01 00:00:25
116,117,Gascó Oliag - Primado Reig,1,18,12,30,0,2025-04-30 23:50:05,39.47925133992885,-0.357065317141581,2025-05-01 00:00:25
117,118,Gómez Ferrer - Álvaro de Bazán,1,5,14,20,0,2025-04-30 23:50:05,39.480466345728246,-0.3604163266878076,2025-05-01 00:00:25
118,119,Jaime Roig - Bachiller,1,3,16,20,0,2025-04-30 23:50:05,39.48252035422283,-0.3632263347367644,2025-05-01 00:00:25
119,120,Doctor Vicente Zaragozá - Emilio Baró,1,3,15,18,0,2025-04-30 23:50:05,39.484880361257815,-0.3620463290628108,2025-05-01 00:00:25
120,121,Murta - Sant Eperit,1,15,0,15,0,2025-04-30 23:50:05,39.48618236435413,-0.358771317481443,2025-05-01 00:00:25
121,122,Músico Hipólito Martínez - Diógenes López Mecho,1,4,11,15,0,2025-04-30 23:50:05,39.48448535604776,-0.3540663028794564,2025-05-01 00:00:25
122,123,Albocácer - Vinaroz,1,13,7,20,0,2025-04-30 23:50:05,39.487671371814656,-0.3648413360951872,2025-05-01 00:00:25
123,124,Azagador de Alboraya - Dolores Marqués,1,11,14,25,0,2025-04-30 23:50:05,39.48850137319014,-0.3619553259600363,2025-05-01 00:00:25
124,125,"Masquefa, 42 - 44",1,10,5,15,0,2025-04-30 23:50:05,39.489693375775445,-0.3586183142345537,2025-05-01 00:00:25
125,126,Alfahuir - José Chabas Bordehore,1,3,17,20,0,2025-04-30 23:50:05,39.49309838788837,-0.3601043160489527,2025-05-01 00:00:25
126,127,Alfahuir - Duque de Mandas,1,12,8,20,0,2025-04-30 23:50:05,39.49059138177909,-0.3644463333304693,2025-05-01 00:00:25
127,128,Alfahuir - Peñiscola,1,5,20,25,0,2025-04-30 23:50:05,39.48876637693274,-0.367544345093534,2025-05-01 00:00:25
128,129,Almazora - Benimuslem,1,1,18,20,0,2025-04-30 23:50:05,39.48597536908952,-0.3699453557741905,2025-05-01 00:00:25
129,130,Convento Carmelitas - Alboraya,1,9,6,15,0,2025-04-30 23:50:05,39.483238360081586,-0.370210358642677,2025-05-01 00:00:25
130,131,"CALLE SANTA AMALIA  2, esquina POETA BODRIA",1,3,17,20,0,2025-04-30 23:50:05,39.48141722170027,-0.3729122732215235,2025-05-01 00:00:25
131,132,Platero Suárez - Milagrosa,1,15,0,15,0,2025-04-30 23:50:05,39.48528636793778,-0.3734343681182198,2025-05-01 00:00:25
132,133,Alfambra - Poeta Monmeneu,1,13,2,15,0,2025-04-30 23:50:05,39.48275636079257,-0.3758823782702375,2025-05-01 00:00:25
133,134,Maximiliano Thous - Luz Casanova,1,7,13,20,0,2025-04-30 23:50:05,39.48765637635625,-0.3733393651320896,2025-05-01 00:00:25
134,135,Constitución - Reus,1,16,4,20,0,2025-04-30 23:50:05,39.48570237196362,-0.3785013847815641,2025-05-01 00:00:25
135,136,Economista Gay - Constitución,1,9,11,20,0,2025-04-30 23:50:05,39.48994138447594,-0.3756103716680802,2025-05-01 00:00:25
136,137,Economista Gay - Luis Crumiere,1,4,16,20,0,2025-04-30 23:50:05,39.48903338344832,-0.3798963873712934,2025-05-01 00:00:25
137,138,San Pancracio - Periodista Llorente,1,3,17,20,0,2025-04-30 23:50:05,39.48819038284581,-0.3842224020748283,2025-05-01 00:00:25
138,139,Reus - Alquería de la Estrella,1,13,2,15,0,2025-04-30 23:50:05,39.48570637409792,-0.3828733999571918,2025-05-01 00:00:25
