Direction,Number,Active,Total_stands,Ticket,Latitude,Longitude
Francia - Menorca,56.0,1.0,15.0,0.0,39.45842126509135,-0.3444052893928658
Plaza España,58.0,1.0,20.0,1.0,39.46621830848607,-0.3815864106638383
Av. Puerto - Serrería,69.0,1.0,25.0,0.0,39.46195227384504,-0.3387212679875118
Jerónimo Monsoriu - Industria,73.0,1.0,20.0,1.0,39.4662592905475,-0.3428792786496773
Escultor José Capuz - Oriente,43.0,1.0,20.0,0.0,39.459477276259406,-0.3611533458364356
Gaspar Aguilar - Vicente Parra,86.0,1.0,20.0,1.0,39.4552402764855,-0.3911934519157556
Ricardo Muñoz Suay - María José Victoria Fuster (C.C. El Saler),49.0,1.0,25.0,0.0,39.45298693239739,-0.3571104198826364
Alameda - Pintor Maella,53.0,1.0,25.0,0.0,39.45676426141678,-0.3481393040048007
Francia - Pintor Maella,55.0,1.0,25.0,0.0,39.45934326975421,-0.3486863041159564
Blasco Ibañez 121,97.0,1.0,23.0,0.0,39.47306831276613,-0.3431322739648798
San Vicente Martir - Doctor Vilá Barberá,27.0,1.0,20.0,0.0,39.463362299305594,-0.3818514137102655
Plaza América - Cirilo Amorós - Sorní,29.0,1.0,20.0,1.0,39.47011231364647,-0.3652993525279599
Cirilo Amorós - Jorge Juan (Mercado Colón),30.0,1.0,20.0,0.0,39.46860130988493,-0.3684993636557958
Pintor Luis Arcas - Inst. Obrero Valenciano,46.0,1.0,20.0,0.0,39.455509261762266,-0.3587873408716088
Moreras (Oceanográfico),51.0,1.0,20.0,1.0,39.45218324552497,-0.3472273049060467
San José de Calasanz - Salas Quiroga,26.0,1.0,15.0,0.0,39.46619531059966,-0.3860524260304749
Guillem de Anglesola - Av. Puerto,66.0,1.0,25.0,0.0,39.46427128532339,-0.3462612916525901
Ramiro de Maeztu - Peris Brell,72.0,1.0,15.0,0.0,39.4672572011624,-0.3464462819621424
Plaza Poeta Llorente,5.0,1.0,15.0,1.0,39.476895339123786,-0.3711403661399108
"Alberique, 18 (Abastos)",25.0,1.0,23.0,1.0,39.46772931656263,-0.3886104333408022
Peris y Valero - Cuba,39.0,1.0,19.0,1.0,39.457854277261184,-0.3739313916673185
Blasco Ibañez - Poeta Durán Tortajada,93.0,1.0,38.0,1.0,39.47228231067077,-0.343809277423822
Av. de la Plata (Museo Fallero),42.0,1.0,20.0,1.0,39.45878127329601,-0.3586583378805894
Blasco Ibañez - Yecla,96.0,1.0,21.0,1.0,39.47355431688417,-0.3482142912637639
Justo y Pastor - Duque de Gaeta,98.0,1.0,15.0,1.0,39.469680303996114,-0.348442294427372
UPV Informática,114.0,1.0,30.0,0.0,39.4818043438759,-0.346591279156021
Alfambra - Poeta Monmeneu,133.0,1.0,15.0,0.0,39.48275636079257,-0.3758823782702375
Constitución - Reus,135.0,1.0,20.0,1.0,39.48570237196362,-0.3785013847815641
Cra. Malilla - Oltá,192.0,1.0,20.0,1.0,39.45263726161547,-0.3787144113919625
Albalat dels Tarongers - Professor Ernest Lluch,106.0,1.0,25.0,0.0,39.47674432466283,-0.3413872652268807
UPV Trinquet,110.0,1.0,30.0,0.0,39.48074033571707,-0.3366802462346253
Músico Hipólito Martínez - Diógenes López Mecho,122.0,1.0,15.0,0.0,39.48448535604776,-0.3540663028794564
Azagador de Alboraya - Dolores Marqués,124.0,1.0,25.0,1.0,39.48850137319014,-0.3619553259600363
Maximiliano Thous - Luz Casanova,134.0,1.0,20.0,0.0,39.48765637635625,-0.3733393651320896
Economista Gay - Constitución,136.0,1.0,20.0,0.0,39.48994138447594,-0.3756103716680802
Naranjos - Ingeniero Fausto Elio,109.0,1.0,20.0,1.0,39.4768193210939,-0.3335102388084858
"Masquefa, 42 - 44",125.0,1.0,15.0,0.0,39.489693375775445,-0.3586183142345537
C/Xàtiva 30-32,148.0,1.0,35.0,1.0,39.46714522461298,-0.3753782937388751
Pio XII - Menéndez PIdal (Nuevo Centro),143.0,1.0,30.0,1.0,39.4795373575288,-0.3909364324170816
Reina Doña María - Cádiz,152.0,1.0,15.0,1.0,39.460925286769694,-0.3727053849231208
Albocácer - Vinaroz,123.0,1.0,20.0,0.0,39.487671371814656,-0.3648413360951872
Juan XXIII - Domingo Gómez,175.0,1.0,15.0,1.0,39.49258939642365,-0.3827123943333956
Campanar - Nicasio Benlloch,140.0,1.0,20.0,0.0,39.48800438494039,-0.3896004206542252
Gregorio Gea - Profesor Beltrán Báguena,142.0,1.0,25.0,0.0,39.48192036501599,-0.3896594261794354
Alcudia de Crespins - Pedro Patricio Mey,177.0,1.0,15.0,1.0,39.493545396079504,-0.3734883620528129
Puerto Rico - Cuba,156.0,1.0,15.0,0.0,39.46096428829767,-0.3763453968184098
Pérez Galdós - Marqués de Zenete,157.0,1.0,20.0,1.0,39.46405230416093,-0.387366432507832
Doctor Lluch - Virgen del Sufragio,158.0,1.0,15.0,0.0,39.46669828513057,-0.3277192268301427
Alfahuir - José Chabas Bordehore,126.0,1.0,20.0,0.0,39.49309838788837,-0.3601043160489527
Pavía (Instituto Isabel de Villena),169.0,1.0,20.0,1.0,39.47878532308192,-0.324645206348971
Pavía - Columbretes,164.0,1.0,17.0,0.0,39.46846028903177,-0.3246342149862025
Isabel de Villena - Mendizábal,170.0,1.0,20.0,0.0,39.482973337910934,-0.3253342052924199
Pío XII - Campanar,172.0,1.0,20.0,1.0,39.48146236504626,-0.3933454386575609
Reig Genovés - Ramón Contreras Mongrell,178.0,1.0,20.0,0.0,39.49221639017785,-0.3705063522665271
Doctor Waksman - Nieves,180.0,1.0,20.0,1.0,39.45602126922772,-0.3706833820688013
Ausias March - Pianista Amparo Iturbi,182.0,1.0,21.0,0.0,39.455432269344854,-0.3749653971697836
Doctor Nicasio Benlloch - L'Horta Sud,228.0,1.0,15.0,1.0,39.4936924079167,-0.398671446907537
Reina Violante - Escultor García Mas,203.0,1.0,15.0,0.0,39.48460937883364,-0.401182462974041
San Juan Bosco - Santiago Rusiñol,233.0,1.0,15.0,1.0,39.49716040603917,-0.3694373451738429
Arquitecto Segura del Lago - Camino Nuevo de Picaña,251.0,1.0,15.0,1.0,39.45583028505104,-0.4044134972721287
José Meliá Castelló - Campos Crespo,253.0,1.0,15.0,0.0,39.45272627278094,-0.4011014879360589
Doctor Tomás Sala - Carteros,254.0,1.0,19.0,1.0,39.447714251158565,-0.3899174536874086
Tres Forques - Turís,256.0,1.0,15.0,0.0,39.46396330656933,-0.3922354484553796
