Direction,Number,Active,Free_bici,Free_stand,Total_stands,Ticket,Update_date,Latitude,Longitude,Folder_datetime
Hermanos Maristas - General Urrutia,45,1,8,5,15,0,2025-04-30 23:50:05,39.45381925759081,-0.3618553529234309,2025-05-01 00:00:25
Hermanos Maristas - General Urrutia,45,1,8,5,15,0,2025-04-30 23:39:59,39.45381925759081,-0.3618553529234309,2025-04-30 23:45:04
Hermanos Maristas - General Urrutia,45,1,8,5,15,0,2025-04-30 23:19:46,39.45381925759081,-0.3618553529234309,2025-04-30 23:30:06
Pintor Luis Arcas - Inst. Obrero Valenciano,46,1,12,8,20,0,2025-04-30 23:50:05,39.455509261762266,-0.3587873408716088,2025-05-01 00:00:25
Pintor Luis Arcas - Inst. Obrero Valenciano,46,1,11,9,20,0,2025-04-30 23:39:59,39.455509261762266,-0.3587873408716088,2025-04-30 23:45:04
Pintor Luis Arcas - Inst. Obrero Valenciano,46,1,10,10,20,0,2025-04-30 23:19:46,39.455509261762266,-0.3587873408716088,2025-04-30 23:30:06
Autopista del Saler - Puente Monteolivete,47,1,11,8,20,0,2025-04-30 23:50:05,39.45651226440267,-0.3554183288036281,2025-05-01 00:00:25
Autopista del Saler - Puente Monteolivete,47,1,4,15,20,0,2025-04-30 23:39:59,39.45651226440267,-0.3554183288036281,2025-04-30 23:45:04
Autopista del Saler - Puente Monteolivete,47,1,5,14,20,0,2025-04-30 23:19:46,39.45651226440267,-0.3554183288036281,2025-04-30 23:30:06
Antonio Ferrandis - General Urrutia,48,1,3,17,20,0,2025-04-30 23:50:05,39.450807354184086,-0.3585527382322896,2025-05-01 00:00:25
Antonio Ferrandis - General Urrutia,48,1,2,18,20,0,2025-04-30 23:39:59,39.450807354184086,-0.3585527382322896,2025-04-30 23:45:04
Antonio Ferrandis - General Urrutia,48,1,2,18,20,0,2025-04-30 23:19:46,39.450807354184086,-0.3585527382322896,2025-04-30 23:30:06
