StationNumber,Weekday,HourOfDay,Avg_Free_Bici,Avg_Free_Stand
3,Wednesday,15,4.155688622754491,15.77245508982036
3,Wednesday,16,4.107784431137724,15.796407185628743
3,Wednesday,17,3.3164556962025316,16.620253164556964
3,Wednesday,18,5.908695652173913,14.052173913043479
3,Wednesday,19,3.55625,16.39375
3,Wednesday,20,5.01875,14.9
3,Wednesday,21,6.124223602484472,13.801242236024844
3,Wednesday,22,6.7926829268292686,13.128048780487806
3,Wednesday,23,6.632911392405063,13.278481012658228
3,Thursday,0,4.962732919254658,14.91304347826087
3,Thursday,1,3.238993710691824,16.660377358490567
3,Thursday,2,2.53125,17.35625
3,Thursday,3,2.1,17.775
3,Thursday,4,1.7125,18.1625
3,Thursday,5,1.69375,18.18125
3,Thursday,6,2.088050314465409,17.78616352201258
3,Thursday,7,2.861635220125786,17.0125786163522
3,Thursday,8,2.0925925925925926,17.808641975308642
3,Thursday,9,4.765060240963855,15.132530120481928
3,Thursday,10,4.3293413173652695,15.580838323353293
3,Thursday,11,1.4271570014144273,18.563649222065063
3,Thursday,12,4.857954545454546,15.039772727272727
3,Thursday,13,6.845070422535211,12.868544600938968
3,Thursday,14,4.598837209302325,15.313953488372093
3,Thursday,15,4.899408284023669,14.982248520710058
3,Thursday,16,5.0285714285714285,14.862857142857143
3,Thursday,17,4.688235294117647,15.217647058823529
3,Thursday,18,4.976744186046512,14.930232558139535
3,Thursday,19,4.508771929824562,15.385964912280702
3,Thursday,20,4.436046511627907,15.453488372093023
3,Thursday,21,5.8023255813953485,14.093023255813954
3,Thursday,22,7.053254437869822,12.834319526627219
3,Thursday,23,6.9411764705882355,12.929411764705883
3,Friday,0,5.3023255813953485,14.593023255813954
3,Friday,1,4.25,15.645348837209303
3,Friday,2,3.133720930232558,16.773255813953487
3,Friday,3,2.239766081871345,17.666666666666668
3,Friday,4,1.5467289719626167,18.378504672897197
3,Friday,5,1.7375,18.16875
3,Friday,6,2.2264150943396226,17.67295597484277
3,Friday,7,3.3664596273291925,16.51552795031056
3,Friday,8,2.3658536585365852,17.536585365853657
3,Friday,9,5.899408284023669,14.017751479289942
3,Friday,10,4.8654970760233915,15.064327485380117
3,Friday,11,4.876470588235295,15.052941176470588
3,Friday,12,4.223529411764706,15.74705882352941
3,Friday,13,3.7485380116959064,16.228070175438596
3,Friday,14,3.86046511627907,16.11627906976744
3,Friday,15,4.098837209302325,15.877906976744185
3,Friday,16,3.6358381502890174,16.341040462427745
3,Friday,17,2.947058823529412,17.00588235294118
3,Friday,18,3.808139534883721,16.16860465116279
3,Friday,19,5.406976744186046,14.55232558139535
3,Friday,20,7.075581395348837,12.901162790697674
3,Friday,21,8.348837209302326,11.587209302325581
3,Friday,22,9.122093023255815,10.784883720930232
3,Friday,23,9.053892215568862,10.808383233532934
3,Saturday,0,6.803738317757009,13.088785046728972
3,Saturday,1,4.49375,15.36875
3,Saturday,2,2.742138364779874,17.150943396226417
3,Saturday,3,1.6666666666666667,18.257861635220127
3,Saturday,4,1.124223602484472,18.819875776397517
3,Saturday,5,1.4259259259259258,18.52469135802469
3,Saturday,6,1.6560509554140128,18.29299363057325
3,Saturday,7,1.775,18.175
3,Saturday,8,1.3375,18.6125
3,Saturday,9,1.00625,18.94375
3,Saturday,10,1.275,18.675
3,Saturday,11,2.0625,17.90625
3,Saturday,12,1.94375,18.0125
3,Saturday,13,2.611111111111111,17.32716049382716
3,Saturday,14,3.097560975609756,16.853658536585368
3,Saturday,15,3.4662576687116564,16.47239263803681
3,Saturday,16,2.5644171779141103,17.386503067484664
3,Saturday,17,2.6158536585365852,17.304878048780488
3,Saturday,18,3.6402439024390243,16.286585365853657
3,Saturday,19,5.048780487804878,14.804878048780488
3,Saturday,20,7.0,12.853658536585366
3,Saturday,21,8.21951219512195,11.640243902439025
3,Saturday,22,9.084848484848484,10.757575757575758
3,Saturday,23,8.700636942675159,11.159235668789808
3,Sunday,0,6.690058479532164,13.187134502923977
3,Sunday,1,4.145348837209302,15.761627906976743
3,Sunday,2,3.36,16.553333333333335
3,Sunday,3,2.642857142857143,17.27922077922078
3,Sunday,4,1.4038461538461537,18.563186813186814
3,Sunday,5,1.9793103448275862,17.93793103448276
3,Sunday,6,2.403973509933775,17.509933774834437
3,Sunday,7,2.512987012987013,17.40909090909091
3,Sunday,8,2.344155844155844,17.584415584415584
3,Sunday,9,2.3144654088050314,17.60377358490566
3,Sunday,10,2.186335403726708,17.73913043478261
3,Sunday,11,1.98125,17.94375
3,Sunday,12,2.102409638554217,17.825301204819276
3,Sunday,13,2.3550295857988166,17.57396449704142
3,Sunday,14,2.491228070175439,17.42105263157895
3,Sunday,15,3.2209302325581395,16.686046511627907
3,Sunday,16,3.244186046511628,16.662790697674417
3,Sunday,17,2.7294117647058824,17.176470588235293
3,Sunday,18,2.508771929824561,17.39766081871345
3,Sunday,19,3.2662721893491122,16.63905325443787
3,Sunday,20,4.674556213017752,15.224852071005918
3,Sunday,21,5.722543352601156,14.15028901734104
3,Sunday,22,5.825581395348837,14.05813953488372
3,Sunday,23,5.585798816568047,14.29585798816568
4,Monday,0,1.5889570552147239,21.32515337423313
4,Monday,1,1.0304878048780488,21.914634146341463
4,Monday,2,0.725609756097561,22.201219512195124
4,Monday,3,0.725609756097561,22.201219512195124
4,Monday,4,0.7183908045977011,22.270114942528735
4,Monday,5,0.7195121951219512,22.225609756097562
4,Monday,6,0.803680981595092,22.134969325153374
4,Monday,7,2.0783132530120483,20.89156626506024
4,Monday,8,7.77710843373494,15.228915662650602
4,Monday,9,11.18452380952381,11.880952380952381
4,Monday,10,11.694610778443113,11.359281437125748
4,Monday,11,11.820359281437126,11.179640718562874
4,Monday,12,12.614457831325302,10.391566265060241
4,Monday,13,11.155688622754491,11.838323353293413
4,Monday,14,7.446428571428571,15.517857142857142
4,Monday,15,2.4850299401197606,20.51497005988024
